subj,item,bin,variable,fix
2,50,15,target,0
2,50,16,target,0
2,50,17,target,0
2,50,18,target,1
2,50,19,target,1
2,50,20,target,1
2,50,21,target,1
2,50,22,target,1
2,51,1,target,0
2,51,2,target,0
2,51,3,target,0
2,51,4,target,0
2,51,5,target,0
2,51,6,target,0
2,51,7,target,0
2,51,8,target,0
2,51,9,target,0
2,51,10,target,0
2,51,11,target,0
2,51,12,target,0
2,51,13,target,0
2,51,14,target,0
2,51,15,target,0
2,51,16,target,1
2,51,17,target,1
2,51,18,target,0
2,51,19,target,0
2,51,20,target,0
2,51,21,target,0
2,51,22,target,0
2,52,1,target,0
2,52,2,target,0
2,52,3,target,0
2,52,4,target,0
2,52,5,target,0
2,52,6,target,0
2,52,7,target,0
2,52,8,target,0
2,52,9,target,0
2,52,10,target,1
2,52,11,target,1
2,52,12,target,1
2,52,13,target,1
2,52,14,target,1
2,52,15,target,0
2,52,16,target,0
2,52,17,target,0
2,52,18,target,0
2,52,19,target,0
2,52,20,target,0
2,52,21,target,0
2,52,22,target,0
3,27,1,target,0
3,27,2,target,0
3,27,3,target,1
3,27,4,target,1
3,27,5,target,1
3,27,6,target,0
3,27,7,target,0
3,27,8,target,1
3,27,9,target,1
3,27,10,target,1
3,27,11,target,1
3,27,12,target,0
3,27,13,target,0
3,27,14,target,0
3,27,15,target,0
3,27,16,target,0
3,27,17,target,1
3,27,18,target,1
3,27,19,target,1
3,27,20,target,1
3,27,21,target,1
3,27,22,target,1
3,28,1,target,0
3,28,2,target,0
3,28,3,target,1
3,28,4,target,1
3,28,5,target,0
3,28,6,target,0
3,28,7,target,0
3,28,8,target,0
3,28,9,target,0
3,28,10,target,0
3,28,11,target,0
3,28,12,target,0
3,28,13,target,0
3,28,14,target,0
3,28,15,target,1
3,28,16,target,1
3,28,17,target,1
3,28,18,target,1
3,28,19,target,1
3,28,20,target,1
3,28,21,target,1
3,28,22,target,1
3,29,1,target,0
3,29,2,target,0
3,29,3,target,0
3,29,4,target,0
3,29,5,target,0
3,29,6,target,0
3,29,7,target,1
3,29,8,target,1
3,29,9,target,1
3,29,10,target,1
3,29,11,target,1
3,29,12,target,1
3,29,13,target,1
3,29,14,target,1
3,29,15,target,0
3,29,16,target,0
3,29,17,target,0
3,29,18,target,0
3,29,19,target,0
3,29,20,target,1
3,29,21,target,1
3,29,22,target,1
3,30,1,target,0
3,30,2,target,0
3,30,3,target,0
